ID,typeID,abilityID_A,MAXLv_A,min_A1,max_A1,min_A2,max_A2,min_A3,max_A3,min_A4,max_A4,textID_A,LvID_A,nameID_A,abilityID_B,MAXLv_B,min_B1,max_B1,min_B2,max_B2,min_B3,max_B3,min_B4,max_B4,textID_B,LvID_B,nameID_B,abilityID_C,MAXLv_C,min_C1,max_C1,min_C2,max_C2,min_C3,max_C3,min_C4,max_C4,textID_C,LvID_C,nameID_C,abilityID_D,MAXLv_D,min_D1,max_D1,min_D2,max_D2,min_D3,max_D3,min_D4,max_D4,textID_D,LvID_D,nameID_D,abilityID_E,MAXLv_E,min_E1,max_E1,min_E2,max_E2,min_E3,max_E3,min_E4,max_E4,textID_E,LvID_E,nameID_E,abilityID_F,MAXLv_F,min_F1,max_F1,min_F2,max_F2,min_F3,max_F3,min_F4,max_F4,textID_F,LvID_F,namFID_F
9,0,10,10,67,67,5,50,0,0,0,0,10,4,-1,55,1,0,0,0,0,0,0,0,0,67,6,-1,20,10,16,70,0,0,0,0,0,0,20,5,-1,32,10,8,80,0,0,0,0,0,0,27,5,-1,31,10,8,80,0,0,0,0,0,0,28,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
10,0,56,10,2,20,1,1,1920,1920,1080,1080,68,4,-1,45,1,0,0,0,0,0,0,0,0,54,6,-1,48,1,0,0,0,0,0,0,0,0,57,6,-1,32,10,8,80,0,0,0,0,0,0,27,5,-1,31,10,8,80,0,0,0,0,0,0,28,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
11,64,8,10,3,30,0,0,0,0,0,0,73,13,304,45,1,0,0,0,0,0,0,0,0,54,6,-1,49,1,0,0,0,0,0,0,0,0,58,6,-1,32,10,8,80,0,0,0,0,0,0,27,5,-1,31,10,8,80,0,0,0,0,0,0,28,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
12,0,2,10,30,30,15,60,0,0,0,0,2,4,-1,51,10,40,40,12,30,0,0,0,0,60,4,-1,46,1,0,0,0,0,0,0,0,0,55,6,-1,32,10,8,80,0,0,0,0,0,0,27,5,-1,31,10,8,80,0,0,0,0,0,0,28,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
13,0,17,10,5,15,6,6,0,0,0,0,17,4,-1,44,1,0,0,0,0,0,0,0,0,53,6,-1,25,10,20,200,0,0,0,0,0,0,31,5,-1,32,10,8,80,0,0,0,0,0,0,27,5,-1,31,10,8,80,0,0,0,0,0,0,28,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
14,0,7,1,0,0,0,0,0,0,0,0,7,6,-1,44,1,0,0,0,0,0,0,0,0,53,6,-1,20,10,16,70,0,0,0,0,0,0,20,5,-1,32,10,8,80,0,0,0,0,0,0,27,5,-1,31,10,8,80,0,0,0,0,0,0,28,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
15,8,3,10,30,30,39,120,0,0,0,0,72,13,303,44,1,0,0,0,0,0,0,0,0,53,6,-1,19,10,16,70,0,0,0,0,0,0,19,5,-1,32,10,8,80,0,0,0,0,0,0,27,5,-1,31,10,8,80,0,0,0,0,0,0,28,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
18,0,35,1,0,0,0,0,0,0,0,0,35,6,-1,51,10,20,20,24,60,0,0,0,0,60,4,-1,27,10,1,10,0,0,0,0,0,0,29,5,-1,32,10,8,80,0,0,0,0,0,0,27,5,-1,31,10,8,80,0,0,0,0,0,0,28,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
19,0,1,10,40,40,39,120,50,50,0,0,1,4,-1,20,10,16,70,0,0,0,0,0,0,20,5,-1,26,10,15,60,0,0,0,0,0,0,32,5,-1,32,10,8,80,0,0,0,0,0,0,27,5,-1,31,10,8,80,0,0,0,0,0,0,28,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
20,0,15,10,2,20,0,0,0,0,0,0,15,4,-1,1,10,10,10,24,60,50,50,0,0,1,4,-1,20,10,16,70,0,0,0,0,0,0,20,5,-1,32,10,8,80,0,0,0,0,0,0,27,5,-1,31,10,8,80,0,0,0,0,0,0,28,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
